key,en,fr,ar
teddy_met_people_02,"{TEDDY_NAME}: Why don't we play Truth or Dare?","{TEDDY_NAME} : Pourquoi ne pas jouer à Action ou Vérité ?","{TEDDY_NAME}: لمَ لا نلعب صراحة أو جرأة؟"
truth_01,"{TEDDY_NAME}: Truth. Go to the table in the back.","{TEDDY_NAME} : Vérité. Va jusqu'à la table au fond.","{TEDDY_NAME}: صراحة. اذهب إلى الطاولة في الخلف."
truth_02,"{TEDDY_NAME}: Read what is written on that paper. Can you face the truth?","{TEDDY_NAME} : Lis ce qui est écrit sur cette feuille. Peux-tu affronter la vérité ?","{TEDDY_NAME}: اقرأ ما كُتب على تلك الورقة. هل تستطيع مواجهة الحقيقة؟"
truth_03,"Child: No, I'm not.","Enfant : Non, ce n'est pas vrai.","الطفل: لا، لست كذلك."
truth_04,"{TEDDY_NAME}: Liar.","{TEDDY_NAME} : Menteur.","{TEDDY_NAME}: كاذب."
truth_complete_01,"{TEDDY_NAME}: Now you know... You can't keep pretending you didn't see it.","{TEDDY_NAME} : Maintenant tu sais... Tu ne peux plus faire semblant de ne pas avoir vu.","{TEDDY_NAME}: الآن أنت تعلم... لا يمكنك الاستمرار في التظاهر بأنك لم ترها."
dare_01,"{TEDDY_NAME}: Dare. Go to the table in the back.","{TEDDY_NAME} : Action. Va jusqu'à la table au fond.","{TEDDY_NAME}: جرأة. اذهب إلى الطاولة في الخلف."
dare_02,"{TEDDY_NAME}: Pick up that math exercise paper and solve it. Show me you can do it.","{TEDDY_NAME} : Prends cette feuille d'exercices de maths et résous-la. Montre-moi ce dont tu es capable.","{TEDDY_NAME}: التقط ورقة تمارين الرياضيات وحلّها. أرني أنك تستطيع القيام بذلك."
dare_complete_01,"{TEDDY_NAME}: Good job. You really solved it... But we're not done yet.","{TEDDY_NAME} : Bon travail. Tu l'as résolu... Mais ce n'est pas encore fini.","{TEDDY_NAME}: عمل رائع. لقد قمت بحلها حقاً... لكننا لم ننتهِ بعد."
turn_01,"Child: Your turn.","Enfant : À ton tour.","الطفل: دورك."
turn_02,"{TEDDY_NAME}: Wake up.","{TEDDY_NAME} : Réveille-toi.","{TEDDY_NAME}: استيقظ."
turn_03,"Child: What?","Enfant : Quoi ?","الطفل: ماذا؟"
turn_04,"{TEDDY_NAME}: Wake up.","{TEDDY_NAME} : Réveille-toi.","{TEDDY_NAME}: استيقظ."
turn_05,"Child: But I'm awake.","Enfant : Mais je suis réveillé.","الطفل: لكني مستيقظ."
turn_06,"{TEDDY_NAME}: No.","{TEDDY_NAME} : Non.","{TEDDY_NAME}: لا."
cinematic_01,"Teacher: It's getting worse.","Professeur : Ça empire.","المعلم: الأمر يزداد سوءاً."
cinematic_02,"Mother: What do we do?","Mère : Que devons-nous faire ?","الأم: ماذا نفعل؟"
cinematic_03,"Teacher: He keeps talking to someone.","Professeur : Il n'arrête pas de parler à quelqu'un.","المعلم: إنه يستمر في التحدث مع شخص ما."
cinematic_04,"Father: Who?","Père : Qui ?","الأب: من؟"
cinematic_05,"Teacher: He calls him by a name.","Professeur : Il l'appelle par un prénom.","المعلم: يناديه باسم."
cinematic_06,"Teacher: But there is nobody there.","Professeur : Mais il n'y a personne.","المعلم: لكن لا يوجد أحد هناك."
cinematic_07,"Mother: No... please...","Mère : Non... s'il vous plaît...","الأم: لا... رجاء..."
cinematic_08,"Teacher: He keeps saying that someone is waiting for him.","Professeur : Il répète toujours que quelqu'un l'attend.","المعلم: يقول دائماً إن شخصاً ما ينتظره."
cinematic_09,"Teacher: He keeps screaming that name.","Professeur : Il n'arrête pas de crier ce nom.","المعلم: إنه يصرخ بذلك الاسم باستمرار."
scream_01,"Child: {TEDDY_NAME}!","Enfant : {TEDDY_NAME} !","الطفل: {TEDDY_NAME}!"
scream_02,"Child: {TEDDY_NAME}!","Enfant : {TEDDY_NAME} !","الطفل: {TEDDY_NAME}!"
episode_01,"Teacher: It's happening again!","Professeur : Ça recommence !","المعلم: لقد عاد الأمر مجدداً!"
episode_02,"Mother: My son!","Mère : Mon fils !","الأم: ابني!"
episode_03,"Father: Hold him!","Père : Retenez-le !","الأب: أمسكوا به!"
episode_04,"Child: {TEDDY_NAME}!","Enfant : {TEDDY_NAME} !","الطفل: {TEDDY_NAME}!"
final_teddy_01,"{TEDDY_NAME}: Don't let them take you.","{TEDDY_NAME} : Ne les laisse pas te prendre.","{TEDDY_NAME}: لا تدعهم يأخذونك."
final_teddy_02,"Child: {TEDDY_NAME}!","Enfant : {TEDDY_NAME} !","الطفل: {TEDDY_NAME}!"
transit_pass_01,"Child: An old metro keycard... maybe this powers the elevator upstairs.","Enfant : Une vieille carte de métro... peut-être qu'elle active l'ascenseur en haut.","الطفل: بطاقة مترو قديمة... ربما تشغل المصعد في الأعلى."
vending_machine_01,"Child: It's broken... Someone stuck a torn note: 'Don't listen to the train.'","Enfant : C'est en panne... Quelqu'un a collé un mot déchiré : 'N'écoute pas le train.'","الطفل: إنها معطلة... شخص ما ألصق ورقة ممزقة: 'لا تستمع إلى القطار.'"
intercom_01,"Intercom: *Static* ... Attention passengers... upper platform service is restricted...","Interphone : *Grésillements* ... Attention voyageurs... le service du quai supérieur est limité...","مكبر الصوت: *تشويش* ... انتباه للركاب... خدمة الرصيف العلوي مقيدة..."
elevator_train_reaction_01,"{TEDDY_NAME}: What was that?! That train... it almost crushed us!","{TEDDY_NAME} : C'était quoi ça ?! Ce train... il a failli nous écraser !","{TEDDY_NAME}: ما هذا؟! ذلك القطار... كاد يسحقنا!"
elevator_train_reaction_02,"{TEDDY_NAME}: Hold on to me tight. Don't let go.","{TEDDY_NAME} : Tiens-toi bien à moi. Ne lâche pas.","{TEDDY_NAME}: تمسك بي جيداً. لا تفلتني."
departure_board_01,"Child: The departure board is flickering... All destinations are erased except: 'ROOM 302'.","Enfant : Le tableau des départs clignote... Toutes les destinations sont effacées sauf : 'SALLE 302'.","الطفل: لوحة المغادرة تومض... تم مسح جميع الوجهات باستثناء: 'الغرفة 302'."
teddy_lost_piece_01,"{TEDDY_NAME}: You found my ribbon! You always remember where I leave my things.","{TEDDY_NAME} : Tu as trouvé mon ruban ! Tu te souviens toujours d'où je laisse mes affaires.","{TEDDY_NAME}: لقد وجدت شريطي! أنت تتذكر دائماً أين أترك أشيائي."
bully_floor3_01,"Bully: You actually came up here? You still haven't learned.","Harceleur : Tu es vraiment monté ici ? Tu n'as toujours pas compris.","المتنمر: هل صعدت حقاً إلى هنا؟ ألا زلت لم تتعلم بعد."
bully_floor3_02,"Child: What are you talking about?","Enfant : De quoi tu parles ?","الطفل: عن ماذا تتحدث؟"
bully_floor3_03,"Bully: Look around. It's empty. Nobody is waiting for you down there, and nobody is waiting here.","Harceleur : Regarde autour de toi. C'est vide. Personne ne t'attend en bas, et personne n'attend ici.","المتنمر: انظر حولك. المكان فارغ. لا أحد ينتظرك بالأسفل، ولا أحد ينتظرك هنا."
bully_floor3_04,"Child: My teddy says you're wrong.","Enfant : Mon doudou dit que tu as tort.","الطفل: دبي يقول إنك مخطئ."
bully_floor3_05,"Bully: ... That thing is not your friend.","Harceleur : ... Cette chose n'est pas ton ami.","المتنمر: ... ذلك الشيء ليس صديقك."
darkroom_01,"{TEDDY_NAME}: Your brother is not coming back.","{TEDDY_NAME} : Ton frère ne reviendra pas.","{TEDDY_NAME}: أخوك لن يعود."
darkroom_02,"Child: No... He's waiting for me. He promised.","Enfant : Non... Il m'attend. Il me l'a promis.","الطفل: لا... إنه ينتظرني. لقد وعدني."
darkroom_03,"{TEDDY_NAME}: Look at me.","{TEDDY_NAME} : Regarde-moi.","{TEDDY_NAME}: انظر إلي."
darkroom_04,"{TEDDY_NAME}: I am not your brother.","{TEDDY_NAME} : Je ne suis pas ton frère.","{TEDDY_NAME}: أنا لست أخاك."
darkroom_05,"Child: Stop saying that!","Enfant : Arrête de dire ça !","الطفل: توقف عن قول ذلك!"
darkroom_06,"{TEDDY_NAME}: You created me so you wouldn't be alone. Because you couldn't accept what happened to him.","{TEDDY_NAME} : Tu m'as créé pour ne pas être seul. Parce que tu ne pouvais pas accepter ce qui lui est arrivé.","{TEDDY_NAME}: لقد صنعتني كي لا تكون وحيداً. لأنك لم تستطع تقبل ما حدث له."
darkroom_07,"Child: Where is he then?!","Enfant : Où est-il alors ?!","الطفل: أين هو إذن؟!"
darkroom_08,"{TEDDY_NAME}: Remember that day. The beach.","{TEDDY_NAME} : Souviens-toi de ce jour-là. La plage.","{TEDDY_NAME}: تذكر ذلك اليوم. الشاطئ."
teacher_ending_01,"Teacher: {CHILD_NAME}?","Professeur : {CHILD_NAME} ?","المعلم: {CHILD_NAME}؟"
teacher_ending_02,"Teacher: ... Are you with us?","Professeur : ... Tu es avec nous ?","المعلم: ... هل أنت معنا؟"
beach_intro_01,"{TEDDY_NAME}: Look at that ocean... This is the beach where everything changed.","{TEDDY_NAME} : Regarde cet océan... C'est sur cette plage que tout a basculé.","{TEDDY_NAME}: انظر إلى ذلك المحيط... هذا هو الشاطئ حيث تغير كل شيء."
beach_intro_02,"{TEDDY_NAME}: The waves were so rough that day. You were drowning... and your brother jumped in to save you.","{TEDDY_NAME} : Les vagues étaient si fortes ce jour-là. Tu te noyais... et ton frère a sauté pour te sauver.","{TEDDY_NAME}: كانت الأمواج عاتية في ذلك اليوم. كنت تغرق... وقفز أخوك لينقذك."
beach_intro_03,"Child: Stop... Why are you making me remember this?","Enfant : Arrête... Pourquoi me fais-tu revivre ça ?","الطفل: توقف... لماذا تجعلني أتذكر هذا؟"
beach_intro_04,"{TEDDY_NAME}: Because you can't run forever. He would want you to move forward. Come on... let's build a boat!","{TEDDY_NAME} : Parce que tu ne peux pas fuir éternellement. Il voudrait que tu avances. Allez... construisons un bateau !","{TEDDY_NAME}: لأنك لا تستطيع الهروب إلى الأبد. كان سيريدك أن تمضي قدماً. هيا... لنبنِ قارباً!"
beach_intro_05,"{TEDDY_NAME}: Find some wood logs and a cloth on the sand for the sail.","{TEDDY_NAME} : Trouve des morceaux de bois et un tissu sur le sable pour la voile.","{TEDDY_NAME}: ابحث عن بعض الأخشاب وقطعة قماش على الرمال للشراع."
beach_intro_06,"Child: A boat...? Alright... let's build a raft.","Enfant : Un bateau... ? D'accord, construisons un radeau.","الطفل: قارب...؟ حسناً، لنبنِ طوافة."
beach_ending_ready,"{TEDDY_NAME}: The boat is ready! Come on, get on the raft!","{TEDDY_NAME} : Le bateau est prêt ! Viens, monte sur le radeau !","{TEDDY_NAME}: القارب جاهز! هيا، اصعد على الطوافة!"
teddy_fuse_hint_01,"{TEDDY_NAME}: The fuse box has no power... Remember our neighbor over on the platform? He always knew how to fix electrics. We should go ask him!","{TEDDY_NAME} : La boîte à fusibles n'a pas de courant... Tu te souviens du voisin sur le quai ? Il s'y connaît en électricité. Allons lui demander !","{TEDDY_NAME}: صندوق القواطع بدون كهرباء... هل تتذكر جارنا هناك على الرصيف؟ إنه ماهر في الكهرباء دائماً. فلنذهب ونسأله!"
teddy_fuse_hint_02,"Child: Good idea. Let's go see what he says.","Enfant : Bonne idée. Allons voir ce qu'il dit.","الطفل: فكرة جيدة. لنذهب ونرى ما سيقوله."
neighbor_fuse_advice_01,"Neighbor: Ah, you're trying to power the elevator with the emergency fuse box?","Voisin : Ah, tu essaies d'alimenter l'ascenseur avec la boîte à fusibles de secours ?","الجار: آه، هل تحاول تزويد المصعد بالكهرباء من صندوق القواطع الاحتياطي؟"
neighbor_fuse_advice_02,"Child: Yes! But the switches don't have power and nothing is turning on.","Enfant : Oui ! Mais les disjoncteurs n'ont pas de courant et rien ne s'allume.","الطفل: نعم! لكن القواطع لا يوجد بها كهرباء ولا شيء يعمل."
neighbor_fuse_advice_03,"Neighbor: It's an old relay system. The 3rd switch in the center is the bypass. You need to flip switches 1, 2, 4, and 5 DOWN, but leave the 3rd middle switch UP!","Voisin : C'est un vieux système de relais. Le 3e interrupteur au centre est le disjoncteur de dérivation. Tu dois basculer les 1, 2, 4 et 5 vers le BAS, mais laisser le 3e au centre vers le HAUT !","الجار: إنه نظام ترحيل قديم. القاطع الثالث في المنتصف هو قاطع التجاوز. عليك قلب القواطع 1 و2 و4 و5 للأسفل، وترك القاطع الثالث في المنتصف للأعلى!"
neighbor_fuse_advice_04,"Child: Switches 1, 2, 4, and 5 DOWN, center switch UP... got it!","Enfant : Les 1, 2, 4 et 5 vers le bas, et le central vers le haut... compris !","الطفل: القواطع 1 و2 و4 و5 للأسفل، والأوسط للأعلى... فهمت!"
neighbor_fuse_advice_05,"Neighbor: That's the secret. If that middle bypass flips down, the circuit trips. Set that pattern and the power will surge right back.","Voisin : C'est exactement ça. Si ce pontage central s'abaisse, le circuit disjoncte. Règle cette combinaison et le courant reviendra immédiatement.","الجار: هذا هو السر تماماً. إذا انخفض قاطع التجاوز الأوسط سيتعطل المسار. طبق هذا النمط وسيعود التيار الكهربائي فوراً."
neighbor_fuse_reminder_01,"Neighbor: Remember: flip switches 1, 2, 4, and 5 DOWN, but keep the center switch UP!","Voisin : Rappelle-toi : bascule les 1, 2, 4 et 5 vers le bas, mais laisse le central vers le haut !","الجار: تذكر: اقلب القواطع 1 و2 و4 و5 للأسفل، ودع القاطع الأوسط للأعلى!"
elevator_door_no_power,"Child: The elevator doors won't open. The power grid is offline.","Enfant : Les portes de l'ascenseur ne s'ouvrent pas. Le réseau électrique est hors tension.","الطفل: أبواب المصعد لا تفتح. شبكة الكهرباء مقطوعة."
elevator_door_no_ticket,"Child: The elevator requires a train ticket to open and operate.","Enfant : L'ascenseur a besoin d'un billet de train pour s'ouvrir et fonctionner.","الطفل: يحتاج المصعد إلى تذكرة قطار ليفتح ويعمل."
elevator_btn_no_power,"Child: The elevator power is completely offline. I need to restore it at the fuse box nearby.","Enfant : L'ascenseur est totalement hors tension. Je dois rétablir le courant au disjoncteur tout près.","الطفل: طاقة المصعد مقطوعة بالكامل. أحتاج لإعادتها من صندوق القواطع القريب."
elevator_btn_no_ticket,"Child: The elevator has power now, but I can't ride it without a train ticket.","Enfant : L'ascenseur est alimenté maintenant, mais je ne peux pas monter sans billet de train.","الطفل: المصعد يعمل الآن، لكن لا يمكنني ركوبه دون تذكرة قطار."
elevator_btn_no_teddy,"Child: I can't leave without my teddy bear. He's somewhere on the platform.","Enfant : Je ne peux pas partir sans mon ours en peluche. Il est quelque part sur le quai.","الطفل: لا يمكنني المغادرة بدون دبي المحشو. إنه في مكان ما على الرصيف."
desk_pen_01,"My favorite pen. Barely holding together, but it gets me through the day.","Mon stylo préféré. Il tient à peine, mais il m'aide à tenir la journée.","قلمي المفضل. بالكاد يصمد، لكنه يعينني خلال اليوم."
desk_doodle_01,"A little sketch of a boat lost in the waves. I wasn't really paying attention.","Un petit dessin d'un bateau perdu dans les vagues. Je n'étais pas vraiment attentif.","رسمة صغيرة لقارب ضائع وسط الأمواج. لم أكن منتبهاً حقاً للدرس."
desk_carving_01,"Someone carved 'WAKE UP' into the wood here. It looks really old.","Quelqu'un a gravé 'RÉVEILLE-TOI' dans le bois ici. Ça a l'air très ancien.","شخص ما حفر 'استيقظ' على الخشب هنا. يبدو الحفر قديماً جداً."
desk_book_locked_01,"I should listen to what the teacher is saying first.","Je devrais d'abord écouter ce que dit le professeur.","يجب أن أستمع إلى ما يقوله المعلم أولاً."
